Round 1,Team,Selection,Position Group,,Day 2 Locks,Team,Selection,Position Group,,Day 3 Locks,Team,Selection,Position Group
1,CHI,Caleb Williams,QB,,,PHI, Tyler Nubin,S,,,CIN,Cade Stover,TE
2,WAS,Jayden Daniels,QB,,,LAV,Bo Nix,QB,,,DAL,Braelon Allen,RB
3,NE,Drake Maye,QB,,,BAL,Balen Trice,Edge,,,BAL,Jordan Travis,QB
4,ARI,Marvin Harrison Jr,WR,,,,,,,,,,
5,LAC,Rome Odunze,WR,,,,,,,,,,
6,NYG,Malik Nabers,WR,,,,,,,,,,
7,TEN,Joe Alt,OT,,,,,,,,,,
8,ATL,Dallas Turner,Edge,,,,,,,,,,
9,CHI,Olumuyiwa Fashanu,OT,,,,,,,,,,
10,NYJ,Taliese Fuaga,OT,,,,,,,,,,
11,MIN,Michael Penix Jr,QB,,,,,,,,,,
12,DEN,J.J. McCarthy,QB,,,,,,,,,,
13,LAV,JC Latham,OT,,,,,,,,,,
14,NO,Troy Fautanu,OT,,,,,,,,,,
15,IND,Brock Bowers,TE,,,,,,,,,,
16,SEA,Laiatu Latu,Edge,,,,,,,,,,
17,JAC,Terrion Arnold,CB,,,,,,,,,,
18,CIN,Byron Murphy,DT,,,,,,,,,,
19,LAR,Jared Verse,Edge,,,,,,,,,,
20,PIT,Quinyon Mitchell,CB,,,,,,,,,,
21,MIA,Jackson Powers-Johnson,C,,,,,,,,,,
22,PHI,Nate Wiggins,CB,,,,,,,,,,
23,MIN,Jer’Zhan Newton,DT,,,,,,,,,,
24,DAL,Amarius Mims,OT,,,,,,,,,,
25,GB,Cooper DeJean,CB,,,,,,,,,,
26,TB,Chop Robinson,Edge,,,,,,,,,,
27,ARI,Kool-Aid McKinstry,CB,,,,,,,,,,
28,BUF,Adonai Mitchell,WR,,,,,,,,,,
29,DET,Darius Robinson,DL,,,,,,,,,,
30,BAL,Tyler Guyton,OT,,,,,,,,,,
31,SF,Xavier Legette,WR,,,,,,,,,,
32,KC,Kingsley Suamataia,OT,,,,,,,,,,
